step,time_ns,xapp,adjusted_param,adjusted_value,c0_rbUtil,c0_dlThroughput,c0_AvgCqi,c0_SINR,c0_trafficLoad,c0_RSRP,c0_RSRQ,c0_ulSinr,c0_hoSuccessRate,c0_hoFailureRate,c0_hoAttempts,c1_rbUtil,c1_dlThroughput,c1_AvgCqi,c1_SINR,c1_trafficLoad,c1_RSRP,c1_RSRQ,c1_ulSinr,c1_hoSuccessRate,c1_hoFailureRate,c1_hoAttempts,c0_Param_TxPower,c0_Param_RET,c0_Param_CIO,c1_Param_TxPower,c1_Param_RET,c1_Param_CIO
0,4000000000,CCO,c0_TxPower_delta,2,0.203049,2.03049,3.85714,6.48,0.5,-82.5284,-5.59144,4.21494,1,0,0,0.203049,2.03049,3.85714,5.88,0.5,-82.5284,-5.59144,4.21494,1,0,0,44,8,3,44,8,3
1,6000000000,CCO,c1_TxPower_delta,2,0.294235,2.94235,4.71429,10.6158,0.764189,-80.5284,-4.83184,4.21494,1,0,0,0.0907944,0.907944,3,6.14419,0.235811,-82.5284,-6.54667,4.21494,1,0,0,46,8,3,44,8,3
2,8000000000,ES,c0_TxPower_delta,0,0.203049,2.03049,3.85714,10.88,0.5,-80.5284,-5.59133,4.21494,1,0,0,0.203049,2.03049,3.85714,10.28,0.5,-80.5284,-5.59133,4.21494,1,0,0,46,8,3,46,8,3
3,10000000000,MLB,c1_CIO_delta,0,0.203049,2.03049,3.85714,10.88,0.5,-80.5284,-5.59133,4.21494,1,0,0,0.203049,2.03049,3.85714,10.28,0.5,-80.5284,-5.59133,4.21494,1,0,0,46,8,3,46,8,3
4,12000000000,ES,c1_TxPower_delta,0,0.203049,2.03049,3.85714,10.88,0.5,-80.5284,-5.59133,4.21494,1,0,0,0.203049,2.03049,3.85714,10.28,0.5,-80.5284,-5.59133,4.21494,1,0,0,46,8,3,46,8,3
5,14000000000,MLB,c0_CIO_delta,0,0.203049,2.03049,3.85714,10.88,0.5,-80.5284,-5.59133,4.21494,1,0,0,0.203049,2.03049,3.85714,10.28,0.5,-80.5284,-5.59133,4.21494,1,0,0,46,8,3,46,8,3
6,16000000000,CCO,c1_RET_delta,-1,0.203049,2.03049,3.85714,10.88,0.5,-80.5284,-5.59133,4.21494,1,0,0,0.203049,2.03049,3.85714,10.28,0.5,-80.5284,-5.59133,4.21494,1,0,0,46,8,3,46,8,3
7,18000000000,CCO,c0_RET_delta,-1,0.203049,2.03049,3.85714,10.88,0.5,-80.5284,-5.59017,4.18217,1,0,0,0.203049,2.03049,3.85714,11.48,0.5,-80.5692,-5.59252,4.21272,1,0,0,46,8,3,46,7,3
8,20000000000,ES,c1_TxPower_delta,0,0.203049,2.03049,3.85714,12.08,0.5,-80.5692,-5.59137,4.17993,1,0,0,0.203049,2.03049,3.85714,11.48,0.5,-80.5692,-5.59137,4.17993,1,0,0,46,7,3,46,7,3
9,22000000000,MLB,c0_CIO_delta,0,0.203049,2.03049,3.85714,12.08,0.5,-80.5692,-5.59137,4.17993,1,0,0,0.203049,2.03049,3.85714,11.48,0.5,-80.5692,-5.59137,4.17993,1,0,0,46,7,3,46,7,3
