step,time_ns,xapp,adjusted_param,adjusted_value,c0_rbUtil,c0_dlThroughput,c0_AvgCqi,c0_SINR,c0_trafficLoad,c0_RSRP,c0_RSRQ,c0_ulSinr,c0_hoSuccessRate,c0_hoFailureRate,c0_hoAttempts,c1_rbUtil,c1_dlThroughput,c1_AvgCqi,c1_SINR,c1_trafficLoad,c1_RSRP,c1_RSRQ,c1_ulSinr,c1_hoSuccessRate,c1_hoFailureRate,c1_hoAttempts,c0_Param_TxPower,c0_Param_CIO,c1_Param_TxPower,c1_Param_CIO
0,4000000000,CCO,c0_TxPower_delta,2,0.203049,2.03049,3.85714,11.6,0.5,-89.3623,-5.59256,4.7471,1,0,0,0.203049,2.03049,3.85714,11,0.5,-89.3623,-5.59256,4.7471,1,0,0,44,3,44,3
1,6000000000,CCO,c1_TxPower_delta,2,0.294235,2.94235,4.71429,15.7358,0.764189,-87.3623,-4.83277,4.7471,1,0,0,0.0907944,0.907944,3,11.2642,0.235811,-89.3623,-6.54718,4.7471,1,0,0,46,3,44,3
2,8000000000,ES,c0_TxPower_delta,-1,0.203049,2.03049,3.85714,16,0.5,-87.3623,-5.59187,4.7471,1,0,0,0.203049,2.03049,3.85714,15.4,0.5,-87.3623,-5.59187,4.7471,1,0,0,46,3,46,3
3,10000000000,MLB,c1_CIO_delta,-1,0.202972,2.02972,3.85714,13.8916,0.408435,-88.3623,-6.04523,4.7471,1,0,0,0.293978,2.93978,4.71429,15.3084,0.591565,-87.3623,-5.18802,4.7471,1,0,0,45,3,46,3
4,12000000000,ES,c1_TxPower_delta,-1,0.202851,2.02851,3.85714,13.8917,0.408251,-88.3623,-6.04523,4.7471,1,0,0,0.294027,2.94027,4.71429,15.3083,0.591749,-87.3623,-5.18802,4.7471,1,0,0,45,3,46,2
5,14000000000,MLB,c0_CIO_delta,0,0.203049,2.03049,3.85714,13.8,0.5,-88.3623,-5.59217,4.7471,1,0,0,0.203049,2.03049,3.85714,13.2,0.5,-88.3623,-5.59217,4.7471,1,0,0,45,3,45,2
6,16000000000,CCO,c1_TxPower_delta,2,0.203049,2.03049,3.85714,13.8,0.5,-88.3623,-5.59217,4.7471,1,0,0,0.203049,2.03049,3.85714,13.2,0.5,-88.3623,-5.59217,4.7471,1,0,0,45,3,45,2
7,18000000000,CCO,c0_TxPower_delta,2,0.202998,2.02998,3.85714,13.8916,0.408425,-88.3623,-6.04523,4.7471,1,0,0,0.294028,2.94028,4.71429,15.3084,0.591575,-87.3623,-5.18802,4.7471,1,0,0,45,3,46,2
8,20000000000,ES,c1_TxPower_delta,-1,0.203049,2.03049,3.85714,16,0.5,-87.3623,-5.59187,4.7471,1,0,0,0.203049,2.03049,3.85714,15.4,0.5,-87.3623,-5.59187,4.7471,1,0,0,46,3,46,2
9,22000000000,MLB,c0_CIO_delta,-1,0.294051,2.94051,4.71429,15.9084,0.591613,-87.3623,-5.18802,4.7471,1,0,0,0.202982,2.02982,3.85714,13.2916,0.408387,-88.3623,-6.04523,4.7471,1,0,0,46,3,45,2
10,24000000000,ES,c0_TxPower_delta,-1,0.294076,2.94076,4.71429,15.9083,0.591673,-87.3623,-5.18802,4.7471,1,0,0,0.202948,2.02948,3.85714,13.2917,0.408327,-88.3623,-6.04523,4.7471,1,0,0,46,2,45,2
11,26000000000,MLB,c1_CIO_delta,1,0.203049,2.03049,3.85714,13.8,0.5,-88.3623,-5.59217,4.7471,1,0,0,0.203049,2.03049,3.85714,13.2,0.5,-88.3623,-5.59217,4.7471,1,0,0,45,2,45,2
12,28000000000,CCO,c0_TxPower_delta,2,0.203049,2.03049,3.85714,13.8,0.5,-88.3623,-5.59217,4.7471,1,0,0,0.203049,2.03049,3.85714,13.2,0.5,-88.3623,-5.59217,4.7471,1,0,0,45,2,45,3
13,30000000000,CCO,c1_TxPower_delta,2,0.293975,2.93975,4.71429,15.9084,0.591591,-87.3623,-5.18802,4.7471,1,0,0,0.202948,2.02948,3.85714,13.2916,0.408409,-88.3623,-6.04523,4.7471,1,0,0,46,2,45,3
